"Summit"	"Elevation"	"Latitude"	"Longitude"
"Vysoká Tatranská"	2547	49.17333333333333	20.09638888888889
"Lysec"	1381	48.99722222222222	19.068055555555556
"Ľadový štít"	2627	49.1985453	20.1827653
"Vápenná"	752	48.459722222222226	17.27361111111111
"Veľká Javorina Čergovská"	1099	49.198611111111106	21.147222222222222
"Čebrat'"	1054	49.10138888888889	19.279166666666665
"Kurčinska Magura"	894	49.31527777777777	20.87361111111111
"Malý Manín"	813	49.14861111111111	18.506944444444443
"Magura Oravská (M. Witowska)"	1232	49.295833333333334	19.794444444444448
"Hrubá Kačka"	1037	48.983333333333334	18.5125
"Veľká Chochuľa"	1753	48.893055555555556	19.330555555555556
"Bradavica"	2476	49.17111111111111	20.1575
"Kľak Velkofatranský"	1394	49.045833333333334	19.111111111111114
"Homôľka"	1073	48.956944444444446	18.60138888888889
"Hajdošik"	921	49.06944444444445	22.341666666666665
"Javorina Busovská (Jaworzyna)"	881	49.447222222222216	21.2625
"Veľká Vápenica"	1691	48.913888888888884	19.981944444444444
"Chopok"	2024	48.94305555555555	19.58888888888889
"Krakova hoľa"	1752	48.983333333333334	19.633333333333333
"Drieňok"	1268	48.890277777777776	18.961111111111112
"Vysoká Poľanská"	994	48.75555555555555	19.380555555555556
"Stolová"	934	49.044444444444444	22.398611111111112
"Klapy"	654	49.1625	18.425
"Baníkov"	2178	49.19833333333333	19.711944444444445
"Ostrá Malenica"	909	49.02222222222222	18.405555555555555
"Salásšky"	588	48.765277777777776	17.77361111111111
"Hradová"	887	48.68194444444444	19.92361111111111
"Čierna hora Ondavská"	667	49.30277777777778	21.508333333333333
"Žalostiná"	621	48.81666666666667	17.42638888888889
"Jakubina"	2194	49.193888888888885	19.803055555555556
"Sokolie"	1172	49.236111111111114	19.01527777777778
"Oblík"	925	48.97361111111111	21.47222222222222
"Tlstá"	685	48.87916666666667	21.1875
"Stebnicka Magura"	900	49.359722222222224	21.245833333333334
"Veľký Korčín"	863	48.50833333333333	19.27777777777778
"Hrubý vrch"	2428	49.17111111111111	20.028333333333332
"Bučik"	682	49.1	22.125
"Stávna"	601	49.141666666666666	18.402777777777775
"Sina"	1560	49.0	19.5875
"Vysoké skalky (Wysoka)"	1050	49.38055555555555	20.555555555555557
"Mošnik"	911	48.794444444444444	21.541666666666668
"Sidorova"	1099	49.04722222222222	19.279166666666665
"Diel"	892	48.86527777777778	22.258333333333333
"Lysá stráž"	697	49.083333333333336	21.230555555555554
"Pupov"	1096	49.27638888888889	19.1
"Ľupčianska Magura"	1315	49.00833333333333	19.4375
"Jasenina"	995	48.54722222222222	19.733333333333334
"Pasiečky"	921	48.60416666666667	19.833333333333332
"Mravečnik"	993	49.270833333333336	19.0125
"Vypálené Južne"	713	48.4375	18.679166666666667
"Osobitá"	1687	49.26083333333333	19.721666666666664
"Malý Kriváň"	1671	49.18194444444444	18.993055555555557
"Paradajs"	939	48.462500000000006	18.87361111111111
"Černiny"	671	49.138888888888886	22.041666666666668
"Pavlovský vrch"	611	48.575	20.702777777777776
"Borišov"	1510	48.94166666666666	19.08888888888889
"Javorina Stražovská"	1010	48.96944444444445	18.430555555555557
"Vysoký Gruň (W. Groń)"	905	49.20277777777778	22.12361111111111
"Smilianský vrch"	750	49.40694444444444	21.340277777777775
"Šarišský hrad"	570	49.05138888888889	21.17638888888889
"Ostrý vrch"	1082	48.856944444444444	20.869444444444444
"Marhát"	748	48.59444444444445	17.97083333333333
"Stráž Súľovská"	685	49.025	18.448611111111113
"Holica Leštinská"	1086	49.170833333333334	19.358333333333334
"Hlúpy"	2061	49.236666666666665	20.22
"Klenová"	585	48.638888888888886	17.591666666666665
"Javornik"	783	49.02777777777778	17.995833333333334
"Drienčie"	711	48.475	18.670833333333334
"Sivý vrch"	1805	49.21222222222222	19.641944444444444
"Makyta"	923	49.26111111111111	18.163888888888888
"Černatin"	922	49.31805555555556	18.91111111111111
"Strieborná"	719	48.46805555555556	19.6125
"Medvedia výšina"	659	48.166666666666664	19.883333333333333
"Hlinická Kýčera"	1218	49.02638888888889	18.740277777777777
"Skalky Strážovské"	778	49.141666666666666	18.683333333333334
"Siminy"	1287	49.20416666666667	20.727777777777778
"Nižná Lipová"	1162	49.081944444444446	19.120833333333334
"Pipitka"	1225	48.68333333333333	20.759722222222223
"Štálová"	836	48.52361111111111	18.947222222222223
"Lomné Javorienské"	908	48.49444444444445	19.162499999999998
"Lysica"	1214	49.22777777777778	19.183333333333334
"Lastovici vrch"	1061	48.75833333333333	20.8125
"Veľký Bučeň"	514	48.30694444444444	19.890277777777776
"Beňuška"	1542	48.88055555555555	19.731944444444444
"Ploská"	1532	48.93333333333333	19.116666666666667
"Kazicka Kýčera"	910	49.337500000000006	18.075
"Klin (Starorobociański W.)"	2173	49.19916666666666	19.82138888888889
"Rovná hoľa"	1723	48.94027777777777	19.71388888888889
"Javorinka Stražovská"	892	48.93472222222222	18.447222222222223
"Čierna hora Slanská"	1072	48.96944444444445	21.425
"Javorina Oravská (Jaworzyna)"	1047	49.59583333333334	19.41111111111111
"Čertov kopec"	752	48.38055555555555	17.211111111111112
"Parač"	1325	49.32361111111111	19.21527777777778
"Ušust (Oszus)"	1155	49.40972222222222	19.18611111111111
"Magnet"	964	48.71666666666667	19.88888888888889
"Breznianská Skalka"	946	48.82638888888889	19.622222222222224
"Čierny vrch Stražovský"	997	48.81388888888888	18.40972222222222
"Hradište"	958	48.82916666666667	19.297222222222224
"Javorské"	861	49.45277777777778	18.86388888888889
"Kyjov"	821	48.855555555555554	22.01527777777778
"Jedlina"	620	49.34722222222222	21.306944444444444
"Stavok (Baranie)"	752	49.43611111111111	21.6
"Štyri chotáre"	648	48.641666666666666	20.17361111111111
"Nežabec"	1023	48.92777777777778	22.229166666666664
"Mengušovský štít (M.S.W.)"	2432	49.18694444444444	20.063333333333333
"Veľký Žiar"	856	48.42222222222222	18.741666666666667
"Končistá"	2538	49.157222222222224	20.11388888888889
"Vajskovská Skalka"	1980	48.92916666666667	19.519444444444442
"Folkmarské skaly"	915	48.82916666666667	21.011111111111113
"Lipovica"	555	49.166666666666664	21.768055555555556
"Javorinka Levočská"	1074	49.13333333333333	20.754166666666666
"Slovinská skala"	1014	48.86666666666667	20.804166666666667
"Skalky Lúčanské"	1191	48.99166666666667	18.704166666666666
"Kloptaň"	1153	48.77916666666667	20.858333333333334
"Zrazy"	973	48.75416666666667	19.729166666666664
"Stará kopa"	713	48.725	19.191666666666666
"Hruba Bučina (Buczyna)"	1132	49.487500000000004	19.231944444444444
"Horeňovo"	892	48.78611111111111	18.784722222222225
"Strop (Stryb)"	1011	49.141666666666666	22.280555555555555
"Pyskatá Kačka"	822	49.1625	18.6125
"Strážna"	686	49.15555555555555	18.655555555555555
"Osečný vrch"	551	48.59583333333334	18.38888888888889
"Smrekovica Fatranská"	1530	48.81527777777777	19.230555555555554
"Radzim Muránsky"	970	48.73888888888889	20.11527777777778
