"Mountain"	"Elevation"	"Latitude"	"Longitude"
"Milá"	510.0	50.43471666666667	13.7578
"Písek"	691.0	49.78476666666667	14.036066666666667
"Bukovec"	596.0	49.363083333333336	16.595316666666665
"Křemelná"	1125.0	49.1224	13.44795
"Javorník"	1067.0	49.138283333333334	13.653216666666667
"Horní les"	774.0	49.59126666666667	16.34205
"Zelený vrch"	586.0	50.783833333333334	14.65415
"Raná"	457.0	50.406933333333335	13.7713
"Humenec"	706.0	49.325783333333334	17.8387
"Zvičina"	671.0	50.454766666666664	15.69575
"Vyskeř"	466.0	50.531933333333335	15.159683333333334
"Bílá skála"	964.0	50.73968333333333	15.375333333333334
"Špičák"	1223.0	48.81478333333333	14.039066666666667
"Těšíňočka"	919.0	49.496833333333335	18.452966666666665
"Filka"	759.0	49.2645	18.055083333333332
"Kozel"	598.0	50.663916666666665	14.456266666666666
"Vrátenská hora"	508.0	50.478716666666664	14.651233333333334
"Kamenárka"	862.0	49.50925	18.135766666666665
"Pecný"	546.0	49.91408333333333	14.786916666666666
"Poledník"	1315.0	49.0642	13.395283333333333
"Škarmanka"	888.0	49.453716666666665	12.7513
"Průklesy"	837.0	49.08363333333333	18.090666666666667
"Dub"	458.0	50.612516666666664	14.641016666666667
"Smrk"	1124.0	50.8892	15.27295
"Velký Buk"	736.0	50.81653333333333	14.583583333333333
"Kozlovická hůrka"	612.0	49.611583333333336	18.286916666666666
"Bradlo"	600.0	49.854033333333334	17.054333333333332
"Biskupská kupa"	890.0	50.256933333333336	17.428883333333335
"Borek"	865.0	49.250883333333334	13.39665
"Zadní Žalý"	1036.0	50.66525	15.56845
"Plešivec"	654.0	49.81125	13.988816666666667
"Dvorský les"	1035.0	50.64913333333333	15.863333333333333
"Javorová skála"	723.0	49.5431	14.502316666666667
"Chlum"	603.0	50.09475	16.356316666666668
"Trojačka"	987.0	49.44805	18.373583333333332
"Hušák"	626.0	49.685916666666664	16.70235
"Ostrý"	1293.0	49.20291666666667	13.110216666666666
"Bobík"	1266.0	48.95858333333334	13.8654
"Vysoká hora"	1031.0	50.097366666666666	17.35205
"Jelení hora"	994.0	50.49035	13.158566666666667
"Žibřidovský vrch"	870.0	48.661566666666666	14.389916666666666
"Tanvaldský Špičák"	810.0	50.75151666666667	15.282233333333334
"Krušná hora"	609.0	49.96333333333333	13.929883333333333
"Kamenný vrch"	964.0	49.96371666666667	17.09995
"Vidhošť"	759.0	49.30845	13.46895
"Kobyla"	574.0	50.19806666666667	17.605316666666667
"Hlásnice"	558.0	49.5646	18.084416666666666
"Končina"	888.0	50.19955	17.42415
"Vladař"	693.0	50.08011666666667	13.215766666666667
"Těchovín"	617.0	49.91725	13.795
"Palice"	613.0	49.91153333333333	16.51555
"Liščí hora"	612.0	50.47651666666667	15.918666666666667
"Mužský"	463.0	50.52766666666667	15.046016666666667
"Babí lom"	562.0	49.31321666666667	16.576916666666666
"Dvorský kopec"	527.0	50.721266666666665	14.420866666666667
"Kozubová"	982.0	49.56695	18.672616666666666
"Dlouhá hora"	748.0	50.79031666666667	14.923633333333333
"Špičák"	545.0	50.92845	14.645733333333334
"Květnice"	470.0	49.35868333333333	16.41475
"Kaňkov"	436.0	50.53763333333333	13.7261
"Velký Jelení vrch"	514.0	50.67666666666667	14.827333333333334
"Maršovický vrch"	495.0	50.58355	14.577933333333334
"Luční hora"	1555.0	50.727716666666666	15.68235
